strategy,symbol,date,entry_time,exit_time,direction,setup,entry,stop,risk_pct,target_r,partial_hit,exit_reason,pnl_r
Jason Berry,NQ=F,2026-07-08,10:45,10:50,short,OR breakdown + EMA trend,29173.25,29259.875,0.297,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-09,13:05,13:05,long,OR breakout + EMA trend,29942.25,29913.75,0.095,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-10,11:25,11:35,long,OR breakout + EMA trend,29979.0,29916.1875,0.21,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-13,12:30,12:30,short,OR breakdown + EMA trend,29512.0,29545.025,0.112,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-14,10:10,10:20,short,OR breakdown + EMA trend,29665.25,29733.525,0.23,1.0,True,breakeven,0.5
Jason Berry,NQ=F,2026-07-15,10:20,10:20,short,OR breakdown + EMA trend,29673.5,29762.8304,0.301,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-16,13:40,14:20,short,OR breakdown + EMA trend,29243.75,29286.0875,0.145,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-17,10:05,11:00,long,OR breakout + EMA trend,28810.0,28690.2946,0.415,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-20,10:10,10:25,short,OR breakdown + EMA trend,28973.5,29020.2625,0.161,1.0,True,breakeven,0.5
Jason Berry,NQ=F,2026-07-21,10:05,10:05,short,OR breakdown + EMA trend,29080.0,29129.7125,0.171,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-22,11:05,13:55,long,OR breakout + EMA trend,29293.0,29242.6625,0.172,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-23,10:40,10:40,short,OR breakdown + EMA trend,28645.0,28725.275,0.28,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-24,10:30,10:30,short,OR breakdown + EMA trend,28305.25,28377.0375,0.254,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-05-13,10:05,10:05,long,OR breakout + EMA trend,103.64,103.2286,0.397,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-05-14,10:10,10:35,long,OR breakout + EMA trend,101.14,100.859,0.278,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-05-15,10:40,15:50,long,OR breakout + EMA trend,100.16,99.7143,0.445,1.0,True,time,1.779
Jason Berry,CL=F,2026-05-18,10:05,15:50,long,OR breakout + EMA trend,100.58,99.86,0.716,1.0,True,time,1.153
